member_id,member_name,summary_text,generated_at,generator,model,source,prompt_version
4386,Adeline Blancquaert,"Adeline Blancquaert zetelt voor Vlaams Belang en vertegenwoordigt Kieskring Oost-Vlaanderen vanuit zetel 48.
In het parlementaire werk is deze politicus actief, met 70 schriftelijke en 63 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 76.5% en de commissie-aanwezigheid 43.8%, wat wijst op een profiel dat wisselend aanwezig is.
De meest zichtbare beleidsthema's zijn Wonen en energie, Veiligheid en justitie, Begroting en financiën.
Commissiewerk loopt onder meer via Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed, Commissie voor Wonen, Toerisme, Energie en Klimaat en andere commissies.
Opvallend is dat het profiel momenteel vooral via parlementaire activiteit en aanwezigheid wordt getekend.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4617,Aimen Horch,"Aimen Horch zetelt voor Groen en vertegenwoordigt Kieskring Vlaams-Brabant vanuit zetel 26.
In het parlementaire werk is deze politicus actief, met 15 schriftelijke en 77 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 95.3% en de commissie-aanwezigheid 68.8%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Wonen en energie, Klimaat en milieu, Binnenlands bestuur.
Commissiewerk loopt onder meer via Commissie voor Binnenlands Bestuur en Inburgering, Commissie voor Wonen, Toerisme, Energie en Klimaat en andere commissies.
Opvallende extra profielinformatie: partijvoorzitter Groen.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4638,Amina Vandenheuvel,"Amina Vandenheuvel zetelt voor PVDA en vertegenwoordigt Kieskring Antwerpen vanuit zetel 103.
In het parlementaire werk is deze politicus eerder selectief actief, met 35 schriftelijke en 23 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 97.6% en de commissie-aanwezigheid 30.4%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Mobiliteit, Klimaat en milieu, Werk en economie.
Commissiewerk loopt onder meer via Commissie voor Brussel en de Vlaamse Rand en Dierenwelzijn, Commissie voor Mobiliteit en Openbare Werken en andere commissies.
Opvallend is dat het profiel momenteel vooral via parlementaire activiteit en aanwezigheid wordt getekend.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4114,An Christiaens,"An Christiaens zetelt voor cd&v en vertegenwoordigt Kieskring Limburg vanuit zetel 54.
In het parlementaire werk is deze politicus zeer actief, met 214 schriftelijke en 98 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 95.3% en de commissie-aanwezigheid 83.7%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Mobiliteit, Onderwijs, Werk en economie.
Commissiewerk loopt onder meer via Commissie voor Cultuur, Jeugd, Sport en Media, Commissie voor Mobiliteit en Openbare Werken en andere commissies.
Opvallende extra profielinformatie: advocaat ; jurist.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4738,An Hermans,"An Hermans zetelt voor N-VA en vertegenwoordigt Kieskring Antwerpen vanuit zetel 112.
In het parlementaire werk is deze politicus actief, met 58 schriftelijke en 36 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 95.2% en de commissie-aanwezigheid 81.6%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Cultuur, media en sport, Landbouw en dierenwelzijn, Werk en economie.
Commissiewerk loopt onder meer via Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie, Commissie voor Cultuur, Jeugd, Sport en Media en andere commissies.
Opvallend is dat het profiel momenteel vooral via parlementaire activiteit en aanwezigheid wordt getekend.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4077,Andries Gryffroy,"Andries Gryffroy zetelt voor N-VA en vertegenwoordigt Kieskring Oost-Vlaanderen vanuit zetel 68.
In het parlementaire werk is deze politicus actief, met 14 schriftelijke en 55 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 74.1% en de commissie-aanwezigheid 28.3%, wat wijst op een profiel dat wisselend aanwezig is.
De meest zichtbare beleidsthema's zijn Wonen en energie, Werk en economie, Klimaat en milieu.
Commissiewerk loopt onder meer via Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie, Commissie voor Mobiliteit en Openbare Werken en andere commissies.
Opvallende extra profielinformatie: projectleider ; managing director.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4651,Andy Pieters,"Andy Pieters zetelt voor N-VA en vertegenwoordigt Kieskring Limburg vanuit zetel 87.
In het parlementaire werk is deze politicus zeer actief, met 218 schriftelijke en 143 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 97.6% en de commissie-aanwezigheid 93.9%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Klimaat en milieu, Mobiliteit, Werk en economie.
Commissiewerk loopt onder meer via Commissie voor Economie, Werk, Sociale Economie, Wetenschap en Innovatie, Commissie voor Mobiliteit en Openbare Werken en andere commissies.
Opvallende extra profielinformatie: raadgever mobiliteit, openbare werken en SALK bij minister-president Geert Bourgeois ; woordvoerder van Vlaams minister Zuhal Demir.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4095,Anke Van dermeersch,"Anke Van dermeersch zetelt voor Vlaams Belang en vertegenwoordigt Kieskring Antwerpen vanuit zetel 30.
In het parlementaire werk is deze politicus eerder selectief actief, met 44 schriftelijke en 4 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 76.5% en de commissie-aanwezigheid 27.1%, wat wijst op een profiel dat wisselend aanwezig is.
De meest zichtbare beleidsthema's zijn Begroting en financiën, Werk en economie, Veiligheid en justitie.
Commissiewerk loopt onder meer via Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed, Commissie voor Mobiliteit en Openbare Werken.
Opvallende extra profielinformatie: advocate/fiscaliste.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4444,Arnout Coel,"Arnout Coel zetelt voor N-VA en vertegenwoordigt Kieskring Vlaams-Brabant vanuit zetel 50.
In het parlementaire werk is deze politicus actief, met 44 schriftelijke en 18 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 96.5% en de commissie-aanwezigheid 79.1%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Mobiliteit, Landbouw en dierenwelzijn, Begroting en financiën.
Commissiewerk loopt onder meer via Commissie voor Algemeen Beleid, Financiën, Begroting, Justitie en Onroerend Erfgoed, Commissie voor Brussel en de Vlaamse Rand en Dierenwelzijn en andere commissies.
Opvallend is dat het profiel momenteel vooral via parlementaire activiteit en aanwezigheid wordt getekend.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
4390,Bart Claes,"Bart Claes zetelt voor Vlaams Belang en vertegenwoordigt Kieskring Antwerpen vanuit zetel 15.
In het parlementaire werk is deze politicus actief, met 44 schriftelijke en 62 mondelinge tussenkomsten als vraagsteller.
De plenaire aanwezigheid bedraagt 97.6% en de commissie-aanwezigheid 89.6%, wat wijst op een profiel dat sterk aanwezig is.
De meest zichtbare beleidsthema's zijn Mobiliteit, Onderwijs, Klimaat en milieu.
Commissiewerk loopt onder meer via Commissie voor Mobiliteit en Openbare Werken, Commissie voor Leefmilieu, Natuur en Ruimtelijke Ordening en andere commissies.
Opvallend is dat het profiel momenteel vooral via parlementaire activiteit en aanwezigheid wordt getekend.",2026-06-27T15:42:30+02:00,local-template,pending-provider,snapshot,v1
